,Data,Mode,Makespan,Time
240,test_10015,Crossover,3009,735.5766
241,test_2020,Plain,1115,184.4803
242,test_2020,Plain,1095,187.0039
243,test_2020,Plain,1093,187.7899
244,test_2020,Plain,1091,184.8576
245,test_2020,Plain,1127,185.4291
246,test_2020,Plain,1082,186.0045
247,test_2020,Plain,1150,182.1638
248,test_2020,Plain,1089,188.435
249,test_2020,Plain,1148,186.9496
250,test_2020,Plain,1121,185.883
251,test_2020,Fitness,1300,191.092
252,test_2020,Fitness,1331,186.026
253,test_2020,Fitness,1243,183.6779
254,test_2020,Fitness,1363,185.5228
255,test_2020,Fitness,1296,179.9248
256,test_2020,Fitness,1356,185.3303
257,test_2020,Fitness,1331,199.8696
258,test_2020,Fitness,1327,183.5271
259,test_2020,Fitness,1327,182.0449
260,test_2020,Fitness,1332,185.3261
261,test_2020,Replacement,967,199.5034
262,test_2020,Replacement,974,200.4848
263,test_2020,Replacement,987,197.5785
264,test_2020,Replacement,968,195.9687
265,test_2020,Replacement,954,200.1337
266,test_2020,Replacement,990,199.4054
267,test_2020,Replacement,996,199.6351
268,test_2020,Replacement,975,198.0763
269,test_2020,Replacement,971,198.399
270,test_2020,Replacement,979,197.5287
271,test_2020,Crossover,989,194.0071
272,test_2020,Crossover,970,197.4517
273,test_2020,Crossover,957,195.6697
274,test_2020,Crossover,1026,195.6427
275,test_2020,Crossover,978,195.2463
276,test_2020,Crossover,991,203.704
277,test_2020,Crossover,998,196.9645
278,test_2020,Crossover,1002,197.3725
279,test_2020,Crossover,957,195.6228
280,test_2020,Crossover,977,197.9396
281,test_3030,Plain,1885,428.15
282,test_3030,Plain,1961,438.6938
283,test_3030,Plain,1939,438.4718
284,test_3030,Plain,1930,436.9953
285,test_3030,Plain,1934,435.5217
286,test_3030,Plain,1947,442.4512
287,test_3030,Plain,1852,432.4321
288,test_3030,Plain,1948,480.0967
289,test_3030,Plain,1868,434.0502
290,test_3030,Plain,1883,431.6597
291,test_3030,Fitness,2205,493.2972
292,test_3030,Fitness,2235,501.6454
293,test_3030,Fitness,2234,498.7252
294,test_3030,Fitness,2218,490.1377
295,test_3030,Fitness,2247,493.7257
296,test_3030,Fitness,2264,505.8762
297,test_3030,Fitness,2253,482.7768
298,test_3030,Fitness,2200,483.6324
299,test_3030,Fitness,2211,488.3949
300,test_3030,Fitness,2166,470.1606
301,test_3030,Replacement,1535,398.88
302,test_3030,Replacement,1492,398.5741
303,test_3030,Replacement,1526,402.37
304,test_3030,Replacement,1522,395.6229
305,test_3030,Replacement,1538,400.2413
306,test_3030,Replacement,1535,399.2995
307,test_3030,Replacement,1537,400.489
308,test_3030,Replacement,1523,398.7545
309,test_3030,Replacement,1531,400.8382
310,test_3030,Replacement,1571,399.3888
311,test_3030,Crossover,1529,400.3193
312,test_3030,Crossover,1542,402.7739
313,test_3030,Crossover,1563,400.5983
314,test_3030,Crossover,1553,401.0155
315,test_3030,Crossover,1568,401.2804
316,test_3030,Crossover,1584,399.5802
317,test_3030,Crossover,1526,400.8658
318,test_3030,Crossover,1609,399.7089
319,test_3030,Crossover,1554,399.7208
320,test_3030,Crossover,1566,400.5178
321,test_4040,Plain,2733,687.1065
322,test_4040,Plain,2804,700.0056
323,test_4040,Plain,2724,684.7572
324,test_4040,Plain,2669,681.8418
325,test_4040,Plain,2668,671.8568
326,test_4040,Plain,2675,689.5714
327,test_4040,Plain,2666,684.2651
328,test_4040,Plain,2712,685.864
329,test_4040,Plain,2662,690.9212
330,test_4040,Plain,2644,693.5233
331,test_4040,Fitness,3098,743.8778
332,test_4040,Fitness,3019,710.3247
333,test_4040,Fitness,3059,753.5039
334,test_4040,Fitness,3069,752.1463
335,test_4040,Fitness,3050,716.2926
336,test_4040,Fitness,3128,764.0427
337,test_4040,Fitness,3136,741.7266
338,test_4040,Fitness,3059,734.8249
339,test_4040,Fitness,3121,745.2288
340,test_4040,Fitness,3079,759.046
341,test_4040,Replacement,2009,691.5383
342,test_4040,Replacement,2015,661.543
343,test_4040,Replacement,1988,690.3899
344,test_4040,Replacement,1976,690.311
345,test_4040,Replacement,2009,673.2555
346,test_4040,Replacement,2013,687.1462
347,test_4040,Replacement,2013,686.7237
348,test_4040,Replacement,2024,687.3591
349,test_4040,Replacement,2020,664.5654
350,test_4040,Replacement,2016,682.7042
351,test_4040,Crossover,2048,670.7996
352,test_4040,Crossover,2063,677.7429
353,test_4040,Crossover,2028,678.0369
354,test_4040,Crossover,2072,670.7891
355,test_4040,Crossover,2088,671.7296
356,test_4040,Crossover,2037,671.7375
357,test_4040,Crossover,2054,681.755
358,test_4040,Crossover,2045,679.1033
359,test_4040,Crossover,2065,678.6829
360,test_4040,Crossover,2052,677.1446
361,test_5020,Plain,2111,548.6278
362,test_5020,Plain,2228,529.1019
363,test_5020,Plain,2070,563.9788
364,test_5020,Plain,2126,597.0065
365,test_5020,Plain,2172,539.7263
366,test_5020,Plain,2060,549.0187
367,test_5020,Plain,2107,553.394
368,test_5020,Plain,2075,545.2819
369,test_5020,Plain,2129,561.1296
370,test_5020,Plain,2147,557.9441
371,test_5020,Fitness,2413,527.9013
372,test_5020,Fitness,2495,514.5994
373,test_5020,Fitness,2421,515.5831
374,test_5020,Fitness,2492,504.1328
375,test_5020,Fitness,2419,506.4755
376,test_5020,Fitness,2510,517.7262
377,test_5020,Fitness,2406,532.8659
378,test_5020,Fitness,2500,520.6965
379,test_5020,Fitness,2380,507.3087
380,test_5020,Fitness,2457,522.8037
381,test_5020,Replacement,1649,505.8615
382,test_5020,Replacement,1634,507.9855
383,test_5020,Replacement,1635,508.2198
384,test_5020,Replacement,1659,512.3548
385,test_5020,Replacement,1622,508.9241
386,test_5020,Replacement,1662,511.2535
387,test_5020,Replacement,1643,503.1713
388,test_5020,Replacement,1658,516.9525
389,test_5020,Replacement,1644,505.6888
390,test_5020,Replacement,1659,505.059
391,test_5020,Crossover,1681,514.881
392,test_5020,Crossover,1683,521.1509
393,test_5020,Crossover,1672,515.7503
394,test_5020,Crossover,1681,524.0888
395,test_5020,Crossover,1692,517.5321
396,test_5020,Crossover,1669,523.6582
397,test_5020,Crossover,1649,511.069
398,test_5020,Crossover,1658,510.9209
399,test_5020,Crossover,1665,513.9616
400,test_5020,Crossover,1667,517.6894
