,Data,Mode,Makespan,Time
463,abz7,Fitness,973,136.1634
464,abz7,Fitness,927,134.7027
465,abz7,Fitness,948,136.003
466,abz8,Fitness,998,136.0471
467,abz8,Fitness,1029,139.2016
468,abz8,Fitness,975,134.631
469,abz8,Fitness,997,135.5069
470,abz8,Fitness,1014,136.3054
471,abz9,Fitness,1008,136.1604
472,abz9,Fitness,1037,141.4387
473,abz9,Fitness,1036,139.1648
474,abz9,Fitness,1002,137.6287
475,abz9,Fitness,1030,140.209
476,test_10015,Fitness,3562,949.8487
477,test_10015,Fitness,3486,955.3804
478,test_10015,Fitness,3561,968.0001
479,test_10015,Fitness,3461,957.7806
480,test_10015,Fitness,3454,962.7076
481,test_2020,Fitness,1159,185.3847
482,test_2020,Fitness,1172,186.0109
483,test_2020,Fitness,1154,186.57
484,test_2020,Fitness,1193,186.3546
485,test_2020,Fitness,1225,185.1378
486,test_3030,Fitness,2020,461.8177
487,test_3030,Fitness,1922,442.4882
488,test_3030,Fitness,2135,466.7137
489,test_3030,Fitness,2030,454.8106
490,test_3030,Fitness,2025,457.4407
491,test_4040,Fitness,2786,710.2972
492,test_4040,Fitness,2808,710.3789
493,test_4040,Fitness,2954,724.0337
494,test_4040,Fitness,2757,706.0083
495,test_4040,Fitness,2794,729.0782
496,test_5020,Fitness,2251,549.9364
497,test_5020,Fitness,2284,542.6441
498,test_5020,Fitness,2204,578.122
499,test_5020,Fitness,2157,590.7232
500,test_5020,Fitness,2306,559.3462
